open,high,low,close,volume,start
109348.49,109898.28,109242.23,109581.05,220.10342644,1970-01-21 05:59:13.200
109556.09,109719.79,109309.57,109348.49,160.93801054,1970-01-21 05:59:09.600
109139.94,109564.43,109119.91,109556.09,97.0304805,1970-01-21 05:59:06.000
109268.31,109485.62,109100.01,109143.06,87.68893424,1970-01-21 05:59:02.400
109544.2,109578.62,109150.25,109268.31,114.93725481,1970-01-21 05:58:58.800
109356.21,109691.6,109183.14,109542.45,104.31521964,1970-01-21 05:58:55.200
109577.57,109786.73,109230.86,109356.2,140.83522187,1970-01-21 05:58:51.600
109614.66,109694.92,109404.33,109577.54,75.80012288,1970-01-21 05:58:48.000
109691.35,109739.43,109416.37,109614.65,134.48075685,1970-01-21 05:58:44.400
109820.94,109820.94,109401.47,109691.33,227.07111579,1970-01-21 05:58:40.800
109949.32,110017.31,109678,109820.93,180.04654622,1970-01-21 05:58:37.200
110299.69,110371.19,109933.6,109950.96,257.41935747,1970-01-21 05:58:33.600
110225.28,110355.4,109921.74,110301.15,325.55819562,1970-01-21 05:58:30.000
110027.36,110475,109775.94,110224.96,307.86002939,1970-01-21 05:58:26.400
108762.74,110651.12,108762.74,110021.08,725.65661366,1970-01-21 05:58:22.800
108651.14,108828.63,108514.17,108762.75,250.58423184,1970-01-21 05:58:19.200
108517.51,108858.82,108425.3,108679.24,502.24041132,1970-01-21 05:58:15.600
108409.79,108630.85,108350.03,108517.51,364.5079641,1970-01-21 05:58:12.000
107773.98,108499.99,107725.51,108416.31,553.02220752,1970-01-21 05:58:08.400
107693,108228.72,107693,107778.93,523.48721245,1970-01-21 05:58:04.800
107675.04,108091.2,107571.26,107689.6,387.95396841,1970-01-21 05:58:01.200
107073.61,108090.42,107073.61,107678.77,390.06789885,1970-01-21 05:57:57.600
107799.01,107964.39,106920.32,107074.91,449.47679657,1970-01-21 05:57:54.000
107818.56,108000,107589.96,107803.61,261.47363115,1970-01-21 05:57:50.400
107250,107862,107190.58,107817.21,243.12914434,1970-01-21 05:57:46.800
106670.09,107500,106622.9,107250,273.15130737,1970-01-21 05:57:43.200
105989.05,106958.99,105877.03,106670.09,280.20978561,1970-01-21 05:57:39.600
105614.48,106000,105525.61,105990.89,81.28906959,1970-01-21 05:57:36.000
105744.01,105744.01,105553.01,105614.48,55.30597781,1970-01-21 05:57:32.400
105437.73,105753.9,105375.01,105744,46.33779386,1970-01-21 05:57:28.800
105503.28,105593.69,105390.02,105437.73,50.42056211,1970-01-21 05:57:25.200
105720.86,105785.14,105473.59,105503.28,73.51237099,1970-01-21 05:57:21.600
105608.91,105765.84,105368.27,105720.87,116.54272693,1970-01-21 05:57:18.000
105577.19,105790.01,105523.64,105611,76.11584276,1970-01-21 05:57:14.400
